timestamp,event_type,symbol,side,price,qty,reason,status,pnl
2026-03-17 21:43:41,TRADE,ETHUSDT,BUY,2319.97,0.02,,,0.0
2026-03-17 22:42:20,TRADE,SOLUSDT,BUY,94.19,0.48,,,0.0
2026-03-17 22:42:23,TRADE,ETHUSDT,BUY,2337.99,0.014,,,0.0
2026-03-17 22:42:36,TRADE,ETHUSDT,SELL,2337.75,0.014,,,0.0
2026-03-17 22:42:47,TRADE,ETHUSDT,SELL,2335.64,0.019,,,0.0
2026-03-17 22:43:04,TRADE,ETHUSDT,SELL,2332.7,0.017,,,0.0
2026-03-17 22:43:15,TRADE,ETHUSDT,BUY,2333.44,0.014,,,0.0
2026-03-17 22:43:36,TRADE,ETHUSDT,BUY,2334.63,0.019,,,0.0
2026-03-17 22:43:48,TRADE,ETHUSDT,BUY,2335.19,0.017,,,0.0
2026-03-17 22:44:04,TRADE,ETHUSDT,SELL,2334.24,0.019,,,0.0
2026-03-17 22:44:29,TRADE,ETHUSDT,SELL,2333.57,0.017,,,0.0
2026-03-17 22:44:48,TRADE,ETHUSDT,SELL,2331.87,0.023,,,0.0
2026-03-17 22:45:03,TRADE,ETHUSDT,SELL,2329.56,0.017,,,0.0
2026-03-17 22:45:17,TRADE,ETHUSDT,SELL,2330.21,0.023,,,0.0
2026-03-17 22:45:39,TRADE,ETHUSDT,SELL,2331.83,0.023,,,0.0
2026-03-17 22:46:00,TRADE,ETHUSDT,SELL,2331.0,0.019,,,0.0
2026-03-17 22:46:23,TRADE,ETHUSDT,BUY,2327.75,0.017,,,0.0
2026-03-17 22:46:34,TRADE,ETHUSDT,BUY,2324.75,0.017,,,0.0
2026-03-17 22:46:49,TRADE,ETHUSDT,BUY,2326.6,0.017,,,0.0
2026-03-17 22:46:59,TRADE,ETHUSDT,BUY,2327.15,0.015,,,0.0
2026-03-17 22:47:20,TRADE,ETHUSDT,BUY,2327.1,0.023,,,0.0
2026-03-17 22:47:43,TRADE,ETHUSDT,BUY,2326.55,0.015,,,0.0
2026-03-17 22:48:02,TRADE,ETHUSDT,BUY,2327.71,0.017,,,0.0
2026-03-17 22:48:36,TRADE,ETHUSDT,BUY,2330.31,0.017,,,0.0
2026-03-17 22:48:47,TRADE,ETHUSDT,SELL,2326.31,0.023,,,0.0
2026-03-17 22:49:08,TRADE,ETHUSDT,BUY,2328.27,0.019,,,0.0
2026-03-17 22:49:44,TRADE,ETHUSDT,SELL,2329.83,0.017,,,0.0
2026-03-17 22:49:57,TRADE,ETHUSDT,SELL,2329.81,0.017,,,0.0
2026-03-17 22:50:07,TRADE,ETHUSDT,BUY,2330.68,0.017,,,0.0
2026-03-17 22:50:31,TRADE,ETHUSDT,SELL,2326.78,0.019,,,0.0
2026-03-17 22:50:54,TRADE,ETHUSDT,SELL,2325.89,0.017,,,0.0
